,id,mean_dist_day,mean_over_speed_perc,Cluster(2)
0,3423311935,71.24,28,Group 1
1,3423313212,52.53,25,Group 1
2,3423313724,64.54,27,Group 1
3,3423311373,55.69,22,Group 1
4,3423310999,54.58,25,Group 1
5,3423313857,41.91,10,Group 1
6,3423312432,58.64,20,Group 1
7,3423311434,52.02,8,Group 1
8,3423311328,31.25,34,Group 1
9,3423312488,44.31,19,Group 1
10,3423311254,49.35,40,Group 1
11,3423312943,58.07,45,Group 1
12,3423312536,44.22,22,Group 1
13,3423311542,55.73,19,Group 1
14,3423312176,46.63,43,Group 1
15,3423314176,52.97,32,Group 1
16,3423314202,46.25,35,Group 1
17,3423311346,51.55,27,Group 1
18,3423310666,57.05,26,Group 1
19,3423313527,58.45,30,Group 1
20,3423312182,43.42,23,Group 1
21,3423313590,55.68,37,Group 1
22,3423312268,55.15,18,Group 1
23,3423314255,43.84,22,Group 1
24,3423311976,59.26,32,Group 1
25,3423312669,37.14,41,Group 1
26,3423310697,64.3,29,Group 1
27,3423312113,45.75,16,Group 1
28,3423313343,45.97,23,Group 1
29,3423311431,56.04,39,Group 1
30,3423310755,33.64,45,Group 1
31,3423311821,41.67,33,Group 1
32,3423314359,50.68,39,Group 1
33,3423313106,54.22,35,Group 1
34,3423310754,56.2,29,Group 1
35,3423310524,46.16,41,Group 1
36,3423311780,50.22,24,Group 1
37,3423312156,49.66,33,Group 1
38,3423312916,38.61,37,Group 1
39,3423310588,55.28,36,Group 1
40,3423312995,57.87,41,Group 1
41,3423313389,61.69,12,Group 1
42,3423311369,37.41,21,Group 1
43,3423311408,53.83,32,Group 1
44,3423311598,62.98,22,Group 1
45,3423312047,46.97,13,Group 1
46,3423312322,58.03,24,Group 1
47,3423313247,59.87,36,Group 1
48,3423310944,81.34,31,Group 1
49,3423312404,48.56,26,Group 1
50,3423313738,17.66,23,Group 1
51,3423311461,46.01,21,Group 1
52,3423313866,45.34,26,Group 1
53,3423312074,39.64,31,Group 1
54,3423312444,51.22,36,Group 1
55,3423311834,36.21,31,Group 1
56,3423311527,47.32,55,Group 1
57,3423310476,54.87,27,Group 1
58,3423310548,58.97,6,Group 1
59,3423311011,57.3,42,Group 1
60,3423310633,59.94,32,Group 1
61,3423310595,61.72,25,Group 1
62,3423312757,53.19,23,Group 1
63,3423313776,35.13,38,Group 1
64,3423312067,48.47,20,Group 1
65,3423312235,51.17,43,Group 1
66,3423310893,42.14,39,Group 1
67,3423314121,54.31,35,Group 1
68,3423313750,48.93,32,Group 1
69,3423312776,53.51,44,Group 1
70,3423312927,51.72,24,Group 1
71,3423310765,49.86,10,Group 1
72,3423311457,49.2,41,Group 1
73,3423310678,60.2,39,Group 1
74,3423312564,54.06,20,Group 1
75,3423313058,72.91,30,Group 1
76,3423310803,61.92,40,Group 1
77,3423312166,44.2,24,Group 1
78,3423312608,60.75,39,Group 1
79,3423310646,68.36,37,Group 1
80,3423314440,56.39,20,Group 1
81,3423312301,38.19,15,Group 1
82,3423311400,66.19,27,Group 1
83,3423313288,58.2,17,Group 1
84,3423314357,47.55,22,Group 1
85,3423311015,37.62,16,Group 1
86,3423312270,17.81,26,Group 1
87,3423313457,31.25,29,Group 1
88,3423311768,61,41,Group 1
89,3423314289,40.98,33,Group 1
90,3423310618,53.69,24,Group 1
